1	To Kill a Mockingbird	Harper Lee
2	1984	George Orwell
3	The Great Gatsby	F. Scott Fitzgerald
4	One Hundred Years of Solitude	Gabriel Garcia Marquez
5	Pride and Prejudice	Jane Austen
6	Catch-22	Joseph Heller
7	The Catcher in the Rye	J.D. Salinger
8	The Sound and the Fury	William Faulkner
9	In Search of Lost Time	Marcel Proust
10	Ulysses	James Joyce
11	Don Quixote	Miguel de Cervantes
12	Moby-Dick	Herman Melville
13	War and Peace	Leo Tolstoy
14	Hamlet	William Shakespeare
15	The Odyssey	Homer
16	Madame Bovary	Gustave Flaubert
17	The Divine Comedy	Dante Alighieri
18	The Brothers Karamazov	Fyodor Dostoevsky
19	Crime and Punishment	Fyodor Dostoevsky
20	Wuthering Heights	Emily Bronte
21	Jane Eyre	Charlotte Bronte
22	Brave New World	Aldous Huxley
23	The Grapes of Wrath	John Steinbeck
24	Lolita	Vladimir Nabokov
25	To the Lighthouse	Virginia Woolf
26	The Trial	Franz Kafka
27	The Metamorphosis	Franz Kafka
28	Invisible Man	Ralph Ellison
29	Beloved	Toni Morrison
30	The Sun Also Rises	Ernest Hemingway
31	Old Man and the Sea	Ernest Hemingway
32	Fahrenheit 451	Ray Bradbury
33	Slaughterhouse-Five	Kurt Vonnegut
34	Clockwork Orange	Anthony Burgess
35	Of Mice and Men	John Steinbeck
36	The Stranger	Albert Camus
37	Les Miserables	Victor Hugo
38	The Count of Monte Cristo	Alexandre Dumas
39	Anna Karenina	Leo Tolstoy
40	Heart of Darkness	Joseph Conrad
41	Frankenstein	Mary Shelley
42	Dracula	Bram Stoker
43	Great Expectations	Charles Dickens
44	A Tale of Two Cities	Charles Dickens
45	David Copperfield	Charles Dickens
46	The Master and Margarita	Mikhail Bulgakov
47	One Flew Over the Cuckoo's Nest	Ken Kesey
48	The Hobbit	J.R.R. Tolkien
49	The Lord of the Rings	J.R.R. Tolkien
50	The Silmarillion	J.R.R. Tolkien
51	Dune	Frank Herbert
52	Foundation	Isaac Asimov
53	Neuromancer	William Gibson
54	Ender's Game	Orson Scott Card
55	Hyperion	Dan Simmons
56	The Hitchhiker's Guide to the Galaxy	Douglas Adams
57	Snow Crash	Neal Stephenson
58	Do Androids Dream of Electric Sheep?	Philip K. Dick
59	Ubik	Philip K. Dick
60	Solaris	Stanislaw Lem
61	Left Hand of Darkness	Ursula K. Le Guin
62	The Dispossessed	Ursula K. Le Guin
63	The Name of the Wind	Patrick Rothfuss
64	The Way of Kings	Brandon Sanderson
65	Mistborn: The Final Empire	Brandon Sanderson
66	A Game of Thrones	George R.R. Martin
67	A Clash of Kings	George R.R. Martin
68	A Storm of Swords	George R.R. Martin
69	The Lies of Locke Lamora	Scott Lynch
70	The Blade Itself	Joe Abercrombie
71	Good Omens	Neil Gaiman & Terry Pratchett
72	American Gods	Neil Gaiman
73	Neverwhere	Neil Gaiman
74	The Color of Magic	Terry Pratchett
75	Mort	Terry Pratchett
76	Small Gods	Terry Pratchett
77	Harry Potter and the Sorcerer's Stone	J.K. Rowling
78	Harry Potter and the Prisoner of Azkaban	J.K. Rowling
79	The Hunger Games	Suzanne Collins
80	Catching Fire	Suzanne Collins
81	The Maze Runner	James Dashner
82	Divergent	Veronica Roth
83	The Book Thief	Markus Zusak
84	The Kite Runner	Khaled Hosseini
85	A Thousand Splendid Suns	Khaled Hosseini
86	Life of Pi	Yann Martel
87	The Alchemist	Paulo Coelho
88	The Shadow of the Wind	Carlos Ruiz Zafon
89	Midnight's Children	Salman Rushdie
90	Things Fall Apart	Chinua Achebe
91	The God of Small Things	Arundhati Roy
92	White Tiger	Aravind Adiga
93	Norwegian Wood	Haruki Murakami
94	Kafka on the Shore	Haruki Murakami
95	1Q84	Haruki Murakami
96	The Wind-Up Bird Chronicle	Haruki Murakami
97	Never Let Me Go	Kazuo Ishiguro
98	The Remains of the Day	Kazuo Ishiguro
99	Sapiens: A Brief History of Humankind	Yuval Noah Harari
100	Educated	Tara Westover
101	Becoming	Michelle Obama
102	Born a Crime	Trevor Noah
103	Thinking, Fast and Slow	Daniel Kahneman
104	Atomic Habits	James Clear
105	The Power of Habit	Charles Duhigg
106	Guns, Germs, and Steel	Jared Diamond
107	Cosmos	Carl Sagan
108	A Brief History of Time	Stephen Hawking
109	The Gene: An Intimate History	Siddhartha Mukherjee
110	The Emperor of All Maladies	Siddhartha Mukherjee
